EN2001e, length = 4069.74 s, percent_of_speech = 0.89, percent_of_noises = 0.56
noise: Knock_1364_0, start: 9.2341 s end: 14.7143 s, duration: 5.4802 s, snr: 8.18
noise: Computer_260_0, start: 14.0869 s end: 19.2344 s, duration: 5.1475 s, snr: 5.64
noise: Signalization_129_2, start: 18.5039 s end: 29.0364 s, duration: 10.5325 s, snr: 6.36
noise: Street_130_1, start: 19.2886 s end: 29.8211 s, duration: 10.5325 s, snr: 6.02
noise: Telephone_700_0, start: 42.7518 s end: 46.5976 s, duration: 3.8458 s, snr: 2.77
noise: Telephone_147_3, start: 50.5736 s end: 57.6306 s, duration: 7.0570 s, snr: 7.58
noise: Telephone_356_0, start: 50.9014 s end: 54.6001 s, duration: 3.6987 s, snr: 7.87
noise: Signalization_68_1, start: 56.8278 s end: 60.3603 s, duration: 3.5325 s, snr: 14.76
noise: Telephone_376_4, start: 57.5071 s end: 69.3542 s, duration: 11.8471 s, snr: 7.41
noise: Computer_1213_0, start: 74.7428 s end: 80.6242 s, duration: 5.8814 s, snr: -1.00
noise: Tool_3063_0, start: 129.7624 s end: 133.7036 s, duration: 3.9412 s, snr: 3.87
noise: Door_1794_0, start: 145.7634 s end: 149.4031 s, duration: 3.6397 s, snr: 2.63
noise: Door_1659_4, start: 154.0451 s end: 157.1314 s, duration: 3.0862 s, snr: 5.59
noise: Babble_172_4, start: 189.5843 s end: 210.1297 s, duration: 20.5454 s, snr: 9.70
noise: Scissors_33_1, start: 193.7863 s end: 203.2337 s, duration: 9.4474 s, snr: -0.25
noise: Street_70_1, start: 202.4534 s end: 205.9859 s, duration: 3.5325 s, snr: 7.00
noise: Computer_1162_3, start: 229.9138 s end: 233.1046 s, duration: 3.1907 s, snr: 2.12
noise: Squeak_52_0, start: 243.7737 s end: 246.7981 s, duration: 3.0244 s, snr: 8.16
noise: Drawer_132_2, start: 254.9651 s end: 272.7709 s, duration: 17.8059 s, snr: 1.84
noise: Scissors_29_4, start: 269.1929 s end: 272.9205 s, duration: 3.7276 s, snr: 3.22
noise: Drawer_114_4, start: 278.7672 s end: 282.3020 s, duration: 3.5348 s, snr: 5.87
noise: Street_56_2, start: 311.8690 s end: 315.3974 s, duration: 3.5284 s, snr: 5.80
noise: Writing_50_2, start: 316.0058 s end: 340.6921 s, duration: 24.6863 s, snr: 5.27
noise: Telephone_115_0, start: 328.1434 s end: 338.4558 s, duration: 10.3124 s, snr: 3.56
noise: Writing_35_3, start: 340.0067 s end: 343.6997 s, duration: 3.6930 s, snr: 3.28
noise: Street_105_2, start: 363.3609 s end: 368.8888 s, duration: 5.5279 s, snr: 1.28
noise: Drawer_37_4, start: 370.8913 s end: 376.4668 s, duration: 5.5755 s, snr: -1.00
noise: Computer_255_0, start: 395.6271 s end: 405.0630 s, duration: 9.4359 s, snr: 1.91
noise: Signalization_149_3, start: 404.0861 s end: 410.4641 s, duration: 6.3780 s, snr: 1.72
noise: Street_141_3, start: 405.9064 s end: 416.4329 s, duration: 10.5265 s, snr: 5.18
noise: Computer_702_4, start: 418.9725 s end: 422.4991 s, duration: 3.5266 s, snr: 5.83
noise: Knock_1617_4, start: 427.4868 s end: 432.4456 s, duration: 4.9588 s, snr: 1.76
noise: Knock_356_0, start: 481.5434 s end: 486.5093 s, duration: 4.9659 s, snr: 4.87
noise: Door_2432_1, start: 497.7777 s end: 501.2417 s, duration: 3.4640 s, snr: 7.57
noise: Telephone_59_0, start: 517.3739 s end: 523.2616 s, duration: 5.8876 s, snr: 3.94
noise: Babble_22_0, start: 528.1947 s end: 586.8894 s, duration: 58.6947 s, snr: 15.12
noise: Door_4622_1, start: 563.5936 s end: 569.5626 s, duration: 5.9690 s, snr: 7.64
noise: Drawer_66_2, start: 601.1497 s end: 604.6449 s, duration: 3.4952 s, snr: 3.03
noise: Telephone_346_0, start: 604.2368 s end: 607.9280 s, duration: 3.6912 s, snr: 10.40
noise: Writing_6_4, start: 605.4017 s end: 608.4086 s, duration: 3.0069 s, snr: 1.11
noise: Telephone_91_3, start: 639.2932 s end: 667.0193 s, duration: 27.7261 s, snr: 7.22
noise: Knock_17_0, start: 649.3927 s end: 654.5630 s, duration: 5.1703 s, snr: 0.57
noise: Tool_3748_2, start: 658.7293 s end: 663.2621 s, duration: 4.5327 s, snr: 4.09
noise: Squeak_217_3, start: 683.1641 s end: 687.6921 s, duration: 4.5280 s, snr: 4.50
noise: Street_90_1, start: 697.0096 s end: 702.5438 s, duration: 5.5342 s, snr: 10.24
noise: Signalization_127_0, start: 726.0095 s end: 736.5549 s, duration: 10.5454 s, snr: 6.53
noise: Knock_572_4, start: 773.4305 s end: 777.4214 s, duration: 3.9909 s, snr: 8.81
noise: Computer_636_0, start: 807.0344 s end: 811.2019 s, duration: 4.1675 s, snr: 3.61
noise: Tool_2832_3, start: 811.7728 s end: 816.3009 s, duration: 4.5281 s, snr: 4.92
noise: Tool_3347_3, start: 839.4897 s end: 844.0178 s, duration: 4.5281 s, snr: 7.45
noise: Writing_259_3, start: 850.3628 s end: 879.3892 s, duration: 29.0265 s, snr: 5.27
noise: Door_1465_1, start: 864.9017 s end: 868.4027 s, duration: 3.5010 s, snr: 5.62
noise: Telephone_113_2, start: 872.0172 s end: 880.6253 s, duration: 8.6081 s, snr: 2.80
noise: Knock_1310_3, start: 879.1951 s end: 884.5356 s, duration: 5.3405 s, snr: 8.47
noise: Door_1910_2, start: 914.6357 s end: 918.5158 s, duration: 3.8801 s, snr: 6.61
noise: Telephone_530_3, start: 933.1353 s end: 936.2595 s, duration: 3.1242 s, snr: 0.65
noise: Signalization_87_4, start: 954.7290 s end: 960.2575 s, duration: 5.5285 s, snr: 6.17
noise: Telephone_544_0, start: 981.9420 s end: 990.0460 s, duration: 8.1040 s, snr: 5.89
noise: Squeak_70_2, start: 986.4509 s end: 990.2054 s, duration: 3.7545 s, snr: 4.58
noise: Knock_289_1, start: 1033.1318 s end: 1040.1086 s, duration: 6.9768 s, snr: 3.28
noise: Knock_612_1, start: 1038.1954 s end: 1043.1667 s, duration: 4.9713 s, snr: 0.49
noise: Door_9_3, start: 1062.1866 s end: 1068.1926 s, duration: 6.0060 s, snr: 10.87
noise: Drawer_48_0, start: 1080.6581 s end: 1093.4064 s, duration: 12.7484 s, snr: 2.73
noise: Computer_653_4, start: 1084.5709 s end: 1088.2212 s, duration: 3.6503 s, snr: 8.72
noise: Gunshot_13_3, start: 1093.5389 s end: 1097.9564 s, duration: 4.4175 s, snr: -0.46
