EN2002a, length = 2142.71 s, percent_of_speech = 0.91, percent_of_noises = 0.59
noise: Writing_167_1, start: 2.0826 s end: 31.3894 s, duration: 29.3069 s, snr: 7.08
noise: Writing_132_4, start: 5.7384 s end: 19.0244 s, duration: 13.2860 s, snr: 3.31
noise: Knock_1585_4, start: 19.4127 s end: 22.6422 s, duration: 3.2295 s, snr: 5.09
noise: Drawer_105_4, start: 23.5621 s end: 28.7718 s, duration: 5.2096 s, snr: 9.23
noise: Telephone_234_1, start: 27.4544 s end: 54.0384 s, duration: 26.5840 s, snr: 8.17
noise: Squeak_201_2, start: 30.1599 s end: 37.0291 s, duration: 6.8691 s, snr: 6.71
noise: Babble_25_0, start: 41.4826 s end: 56.9852 s, duration: 15.5026 s, snr: 22.31
noise: Signalization_46_4, start: 56.7814 s end: 60.3268 s, duration: 3.5454 s, snr: 3.84
noise: Computer_20_3, start: 134.6258 s end: 137.7531 s, duration: 3.1274 s, snr: 3.52
noise: Computer_603_2, start: 146.2371 s end: 152.4061 s, duration: 6.1690 s, snr: 7.53
noise: Computer_1093_0, start: 148.3690 s end: 156.7246 s, duration: 8.3556 s, snr: 13.01
noise: Telephone_744_4, start: 158.1008 s end: 185.3646 s, duration: 27.2638 s, snr: 10.90
noise: Computer_426_4, start: 169.8775 s end: 184.2155 s, duration: 14.3380 s, snr: 2.43
noise: Knock_1502_2, start: 177.0228 s end: 180.2423 s, duration: 3.2195 s, snr: 1.32
noise: Telephone_669_2, start: 183.6947 s end: 214.2263 s, duration: 30.5316 s, snr: 5.17
noise: Scissors_93_2, start: 191.5026 s end: 194.7658 s, duration: 3.2632 s, snr: 4.97
noise: Door_4444_1, start: 199.3825 s end: 204.0700 s, duration: 4.6875 s, snr: 3.93
noise: Squeak_98_4, start: 204.5998 s end: 209.1287 s, duration: 4.5290 s, snr: 3.52
noise: Tool_2662_1, start: 211.4598 s end: 215.9935 s, duration: 4.5337 s, snr: 3.80
noise: Knock_549_3, start: 224.0859 s end: 227.1181 s, duration: 3.0323 s, snr: 6.86
noise: Knock_1766_4, start: 231.8784 s end: 234.9047 s, duration: 3.0263 s, snr: 4.09
noise: Telephone_177_3, start: 263.8723 s end: 273.6693 s, duration: 9.7970 s, snr: 2.43
noise: Gunshot_46_2, start: 267.4578 s end: 271.2393 s, duration: 3.7815 s, snr: 6.98
noise: Computer_978_3, start: 272.6534 s end: 275.9891 s, duration: 3.3358 s, snr: 3.62
noise: Street_165_3, start: 274.1194 s end: 289.6648 s, duration: 15.5454 s, snr: 5.18
noise: Babble_94_4, start: 315.7274 s end: 321.2668 s, duration: 5.5394 s, snr: 15.76
noise: Door_2372_2, start: 336.6716 s end: 340.4701 s, duration: 3.7985 s, snr: 4.85
noise: Squeak_29_1, start: 359.4948 s end: 364.6688 s, duration: 5.1740 s, snr: 5.99
noise: Telephone_184_0, start: 361.3453 s end: 368.9199 s, duration: 7.5746 s, snr: 2.90
noise: Babble_57_0, start: 366.3694 s end: 371.9148 s, duration: 5.5454 s, snr: 15.37
noise: Drawer_75_2, start: 366.7721 s end: 377.6202 s, duration: 10.8481 s, snr: 5.80
noise: Tool_3460_1, start: 399.7002 s end: 404.2351 s, duration: 4.5349 s, snr: 7.26
noise: Signalization_118_0, start: 401.4157 s end: 411.9482 s, duration: 10.5325 s, snr: 3.43
noise: Door_1900_2, start: 435.6347 s end: 439.8789 s, duration: 4.2443 s, snr: 4.87
noise: Drawer_85_1, start: 447.1985 s end: 450.7599 s, duration: 3.5614 s, snr: 1.99
noise: Computer_1022_1, start: 471.0652 s end: 478.6834 s, duration: 7.6183 s, snr: 4.26
noise: Knock_1900_0, start: 471.4363 s end: 476.7774 s, duration: 5.3411 s, snr: 8.53
