EN2002c, length = 2972.26 s, percent_of_speech = 0.89, percent_of_noises = 0.55
noise: Signalization_140_3, start: 7.1192 s end: 22.6646 s, duration: 15.5454 s, snr: 6.26
noise: Signalization_84_1, start: 14.0140 s end: 19.5465 s, duration: 5.5325 s, snr: 2.29
noise: Tool_3039_4, start: 33.5271 s end: 37.0995 s, duration: 3.5724 s, snr: 2.33
noise: Telephone_264_1, start: 33.6715 s end: 48.0123 s, duration: 14.3407 s, snr: 8.38
noise: Babble_46_1, start: 40.2390 s end: 45.7715 s, duration: 5.5325 s, snr: 12.58
noise: Knock_1336_0, start: 44.3629 s end: 49.8214 s, duration: 5.4585 s, snr: 6.40
noise: Computer_105_0, start: 57.4753 s end: 66.3215 s, duration: 8.8462 s, snr: 5.96
noise: Squeak_211_2, start: 124.9773 s end: 152.3836 s, duration: 27.4063 s, snr: 7.07
noise: Telephone_247_4, start: 127.9551 s end: 140.6532 s, duration: 12.6981 s, snr: 5.69
noise: Squeak_258_2, start: 135.3059 s end: 138.5163 s, duration: 3.2104 s, snr: 3.64
noise: Door_4601_4, start: 142.9401 s end: 148.6476 s, duration: 5.7075 s, snr: 6.04
noise: Computer_1236_1, start: 170.9648 s end: 178.7441 s, duration: 7.7794 s, snr: -0.15
noise: Scissors_10_4, start: 172.3259 s end: 181.0131 s, duration: 8.6873 s, snr: 3.33
noise: Gunshot_39_0, start: 210.6336 s end: 215.4016 s, duration: 4.7680 s, snr: 3.27
noise: Writing_9_2, start: 228.4779 s end: 243.7638 s, duration: 15.2859 s, snr: 4.02
noise: Writing_254_4, start: 241.4928 s end: 260.0393 s, duration: 18.5465 s, snr: 9.71
noise: Computer_744_0, start: 260.9216 s end: 263.9548 s, duration: 3.0333 s, snr: 5.90
noise: Writing_123_1, start: 263.2700 s end: 269.2161 s, duration: 5.9461 s, snr: 8.65
noise: Writing_254_3, start: 288.0454 s end: 306.5928 s, duration: 18.5474 s, snr: 3.94
noise: Gunshot_144_3, start: 300.8646 s end: 303.8753 s, duration: 3.0108 s, snr: 10.59
noise: Tool_3421_2, start: 339.4767 s end: 343.3481 s, duration: 3.8714 s, snr: -1.00
noise: Telephone_729_3, start: 351.4340 s end: 379.1086 s, duration: 27.6746 s, snr: 2.79
noise: Squeak_89_4, start: 357.5661 s end: 371.1922 s, duration: 13.6261 s, snr: 6.57
noise: Signalization_22_0, start: 385.9527 s end: 391.6602 s, duration: 5.7075 s, snr: 6.04
