EN2009d, length = 5324.37 s, percent_of_speech = 0.88, percent_of_noises = 0.47
noise: Writing_117_2, start: 5.4246 s end: 21.4539 s, duration: 16.0293 s, snr: 1.88
noise: Scissors_36_1, start: 17.8696 s end: 31.9961 s, duration: 14.1265 s, snr: 10.07
noise: Babble_116_0, start: 41.0609 s end: 46.5890 s, duration: 5.5281 s, snr: 13.59
noise: Writing_167_2, start: 50.4721 s end: 79.7782 s, duration: 29.3061 s, snr: 1.25
noise: Gunshot_32_3, start: 70.2528 s end: 86.0369 s, duration: 15.7841 s, snr: 5.42
noise: Computer_557_1, start: 74.5422 s end: 80.0164 s, duration: 5.4742 s, snr: 5.48
noise: Babble_46_2, start: 76.3779 s end: 81.9232 s, duration: 5.5454 s, snr: 11.36
noise: Telephone_66_3, start: 159.0173 s end: 179.7634 s, duration: 20.7461 s, snr: 10.76
noise: Writing_108_0, start: 169.3386 s end: 172.3851 s, duration: 3.0465 s, snr: 4.35
noise: Telephone_783_4, start: 179.6358 s end: 182.9254 s, duration: 3.2896 s, snr: 1.91
noise: Street_49_0, start: 186.5040 s end: 190.0494 s, duration: 3.5454 s, snr: 5.43
noise: Writing_252_1, start: 224.9972 s end: 231.7436 s, duration: 6.7464 s, snr: 3.74
noise: Street_165_3, start: 261.7429 s end: 277.2883 s, duration: 15.5454 s, snr: 3.00
noise: Squeak_65_0, start: 267.7372 s end: 283.7246 s, duration: 15.9874 s, snr: 6.42
noise: Squeak_249_1, start: 300.3433 s end: 305.4060 s, duration: 5.0627 s, snr: 2.78
noise: Signalization_15_3, start: 348.1250 s end: 353.3321 s, duration: 5.2071 s, snr: 8.39
noise: Squeak_167_0, start: 387.5566 s end: 391.8216 s, duration: 4.2650 s, snr: 7.95
noise: Knock_1839_2, start: 388.0880 s end: 392.8199 s, duration: 4.7319 s, snr: -1.00
noise: Door_376_0, start: 408.1641 s end: 414.9399 s, duration: 6.7757 s, snr: 5.92
noise: Babble_34_0, start: 427.8073 s end: 433.3494 s, duration: 5.5421 s, snr: 12.09
noise: Gunshot_50_3, start: 455.5351 s end: 458.9326 s, duration: 3.3975 s, snr: 3.20
noise: Scissors_27_1, start: 456.6849 s end: 467.3313 s, duration: 10.6464 s, snr: 6.15
noise: Gunshot_130_2, start: 458.1935 s end: 461.2854 s, duration: 3.0919 s, snr: 6.05
noise: Telephone_189_3, start: 492.5650 s end: 503.4236 s, duration: 10.8586 s, snr: 5.86
noise: Telephone_299_3, start: 520.9182 s end: 533.1591 s, duration: 12.2409 s, snr: 6.27
