ES2010b, length = 1751.98 s, percent_of_speech = 0.82, percent_of_noises = 0.49
noise: Writing_257_1, start: 11.1864 s end: 18.3926 s, duration: 7.2062 s, snr: 3.94
noise: Squeak_231_3, start: 20.0841 s end: 23.7216 s, duration: 3.6375 s, snr: 5.18
noise: Writing_73_1, start: 50.1821 s end: 55.8489 s, duration: 5.6668 s, snr: 5.68
noise: Drawer_152_3, start: 56.7858 s end: 60.5748 s, duration: 3.7890 s, snr: 8.87
noise: Street_27_2, start: 58.0901 s end: 61.6354 s, duration: 3.5454 s, snr: 2.48
noise: Computer_1105_4, start: 58.2675 s end: 73.4603 s, duration: 15.1928 s, snr: 3.33
noise: Scissors_65_4, start: 82.3846 s end: 112.8107 s, duration: 30.4261 s, snr: 5.97
noise: Drawer_86_3, start: 102.5909 s end: 105.8877 s, duration: 3.2968 s, snr: 3.54
noise: Drawer_49_3, start: 126.9826 s end: 135.1892 s, duration: 8.2066 s, snr: 5.14
noise: Scissors_59_0, start: 127.0299 s end: 148.4969 s, duration: 21.4670 s, snr: 0.98
noise: Squeak_296_4, start: 132.3568 s end: 139.3231 s, duration: 6.9663 s, snr: 4.78
noise: Scissors_5_1, start: 152.2741 s end: 165.2003 s, duration: 12.9262 s, snr: 4.73
noise: Knock_833_4, start: 157.6368 s end: 161.5578 s, duration: 3.9210 s, snr: 2.71
noise: Knock_1494_1, start: 160.9518 s end: 166.0320 s, duration: 5.0803 s, snr: 0.55
noise: Telephone_344_0, start: 202.1562 s end: 205.8557 s, duration: 3.6995 s, snr: 8.46
noise: Door_1958_3, start: 214.2184 s end: 217.9444 s, duration: 3.7260 s, snr: 3.73
noise: Knock_1235_1, start: 216.0612 s end: 219.5157 s, duration: 3.4545 s, snr: 6.99
noise: Telephone_708_4, start: 226.2252 s end: 230.1852 s, duration: 3.9600 s, snr: 3.49
noise: Squeak_272_2, start: 229.8290 s end: 233.0904 s, duration: 3.2614 s, snr: 7.32
noise: Knock_1254_2, start: 249.2125 s end: 254.1155 s, duration: 4.9030 s, snr: -1.00
noise: Knock_1037_1, start: 259.4522 s end: 264.1701 s, duration: 4.7179 s, snr: 2.58
noise: Door_2340_3, start: 260.9291 s end: 264.8161 s, duration: 3.8870 s, snr: 10.67
noise: Telephone_746_0, start: 276.7144 s end: 307.2457 s, duration: 30.5312 s, snr: 4.32
noise: Writing_266_1, start: 287.3224 s end: 292.3744 s, duration: 5.0520 s, snr: 5.64
noise: Drawer_37_4, start: 338.7674 s end: 344.3429 s, duration: 5.5755 s, snr: 8.23
noise: Squeak_230_1, start: 352.8781 s end: 356.8591 s, duration: 3.9810 s, snr: 5.84
noise: Door_1997_1, start: 361.0396 s end: 364.2800 s, duration: 3.2404 s, snr: 10.43
noise: Drawer_114_0, start: 361.3021 s end: 364.8356 s, duration: 3.5335 s, snr: 4.73
