ES2014d, length = 2911.36 s, percent_of_speech = 0.84, percent_of_noises = 0.48
noise: Computer_1025_2, start: 2.9047 s end: 12.6652 s, duration: 9.7605 s, snr: 4.23
noise: Squeak_182_3, start: 23.7786 s end: 36.0709 s, duration: 12.2924 s, snr: 8.58
noise: Door_696_2, start: 28.2138 s end: 33.3263 s, duration: 5.1125 s, snr: 5.09
noise: Knock_570_2, start: 44.1723 s end: 50.7384 s, duration: 6.5661 s, snr: 3.54
noise: Signalization_75_2, start: 50.1698 s end: 53.7152 s, duration: 3.5454 s, snr: 3.53
noise: Telephone_695_2, start: 56.0916 s end: 59.9296 s, duration: 3.8380 s, snr: 7.56
noise: Knock_277_0, start: 59.8261 s end: 64.1016 s, duration: 4.2755 s, snr: 0.34
noise: Computer_48_0, start: 76.5146 s end: 99.9208 s, duration: 23.4062 s, snr: 3.57
noise: Knock_305_0, start: 131.9826 s end: 137.4760 s, duration: 5.4934 s, snr: 7.05
noise: Scissors_79_3, start: 135.7579 s end: 154.0261 s, duration: 18.2681 s, snr: 5.35
noise: Door_4629_4, start: 145.2141 s end: 148.4634 s, duration: 3.2493 s, snr: 5.89
noise: Street_83_4, start: 146.5804 s end: 152.1211 s, duration: 5.5408 s, snr: 2.44
noise: Writing_147_0, start: 172.2692 s end: 181.7755 s, duration: 9.5062 s, snr: 3.59
noise: Gunshot_110_3, start: 185.8090 s end: 189.2815 s, duration: 3.4725 s, snr: 6.94
noise: Squeak_38_3, start: 216.0132 s end: 219.2828 s, duration: 3.2696 s, snr: 1.65
noise: Computer_424_1, start: 220.1124 s end: 235.6393 s, duration: 15.5269 s, snr: 5.29
noise: Knock_283_2, start: 254.5740 s end: 262.4647 s, duration: 7.8907 s, snr: 2.54
noise: Scissors_22_1, start: 291.7139 s end: 301.5801 s, duration: 9.8661 s, snr: 8.30
noise: Squeak_81_1, start: 333.7216 s end: 344.3889 s, duration: 10.6672 s, snr: 7.12
noise: Scissors_37_4, start: 370.6964 s end: 385.6424 s, duration: 14.9460 s, snr: 8.19
noise: Street_139_4, start: 376.0419 s end: 386.5872 s, duration: 10.5454 s, snr: 0.21
noise: Computer_825_3, start: 405.0154 s end: 410.1952 s, duration: 5.1797 s, snr: 5.85
noise: Knock_1524_1, start: 409.5962 s end: 413.3587 s, duration: 3.7625 s, snr: 3.91
noise: Telephone_26_4, start: 416.8915 s end: 419.9440 s, duration: 3.0525 s, snr: 8.63
noise: Squeak_185_2, start: 418.6284 s end: 421.8602 s, duration: 3.2317 s, snr: 0.66
noise: Scissors_62_2, start: 455.3664 s end: 463.9326 s, duration: 8.5662 s, snr: 6.53
noise: Signalization_153_0, start: 478.9112 s end: 494.4566 s, duration: 15.5454 s, snr: 0.62
noise: Computer_67_4, start: 485.5956 s end: 490.7816 s, duration: 5.1860 s, snr: 4.77
noise: Signalization_134_2, start: 491.7909 s end: 502.3363 s, duration: 10.5454 s, snr: 5.06
noise: Tool_3584_0, start: 505.1135 s end: 509.6435 s, duration: 4.5300 s, snr: 2.91
noise: Telephone_731_2, start: 549.7604 s end: 577.4398 s, duration: 27.6794 s, snr: -0.34
noise: Door_1834_4, start: 570.8737 s end: 575.3246 s, duration: 4.4509 s, snr: 5.65
noise: Computer_777_0, start: 575.0746 s end: 578.4325 s, duration: 3.3579 s, snr: 5.60
noise: Computer_1175_3, start: 578.5749 s end: 583.3553 s, duration: 4.7804 s, snr: 9.46
noise: Babble_64_2, start: 596.4696 s end: 602.0120 s, duration: 5.5424 s, snr: 17.86
noise: Telephone_648_2, start: 610.4307 s end: 621.0145 s, duration: 10.5838 s, snr: -1.00
noise: Babble_131_2, start: 621.6449 s end: 632.1903 s, duration: 10.5454 s, snr: 22.61
noise: Signalization_147_0, start: 667.5197 s end: 683.0651 s, duration: 15.5454 s, snr: 8.70
noise: Computer_282_3, start: 715.8184 s end: 721.8417 s, duration: 6.0233 s, snr: 3.70
noise: Tool_3594_2, start: 729.8693 s end: 734.3974 s, duration: 4.5281 s, snr: 8.36
noise: Signalization_113_1, start: 735.4398 s end: 740.9723 s, duration: 5.5325 s, snr: 6.30
noise: Writing_111_2, start: 742.5936 s end: 750.6799 s, duration: 8.0864 s, snr: 1.18
noise: Street_161_1, start: 758.6060 s end: 774.1331 s, duration: 15.5271 s, snr: 12.12
noise: Computer_138_2, start: 761.3366 s end: 766.4768 s, duration: 5.1403 s, snr: 5.27
noise: Telephone_825_2, start: 809.6837 s end: 821.1961 s, duration: 11.5124 s, snr: 2.66
noise: Street_93_0, start: 813.8629 s end: 819.4082 s, duration: 5.5454 s, snr: -0.49
noise: Babble_20_3, start: 830.3752 s end: 890.9077 s, duration: 60.5325 s, snr: 16.10
