IS1007b, length = 1302.70 s, percent_of_speech = 0.84, percent_of_noises = 0.55
noise: Squeak_261_2, start: 62.3471 s end: 87.9359 s, duration: 25.5887 s, snr: 2.38
noise: Knock_961_2, start: 76.8121 s end: 80.4941 s, duration: 3.6820 s, snr: 8.92
noise: Signalization_35_0, start: 92.1572 s end: 95.5541 s, duration: 3.3969 s, snr: 6.18
noise: Writing_83_2, start: 137.0191 s end: 141.6474 s, duration: 4.6284 s, snr: 10.47
noise: Drawer_27_4, start: 141.7246 s end: 159.4731 s, duration: 17.7485 s, snr: 5.42
noise: Telephone_319_2, start: 197.5348 s end: 201.7527 s, duration: 4.2180 s, snr: 7.82
noise: Scissors_2_3, start: 232.9571 s end: 237.3634 s, duration: 4.4064 s, snr: 9.90
noise: Signalization_94_4, start: 251.5582 s end: 257.0894 s, duration: 5.5312 s, snr: 4.28
noise: Computer_985_2, start: 255.0541 s end: 258.4670 s, duration: 3.4129 s, snr: 9.94
noise: Babble_69_0, start: 291.2502 s end: 296.7792 s, duration: 5.5290 s, snr: 11.00
noise: Street_105_1, start: 303.9900 s end: 309.5225 s, duration: 5.5325 s, snr: 3.96
noise: Scissors_48_0, start: 315.5664 s end: 325.8134 s, duration: 10.2470 s, snr: 8.81
noise: Writing_41_4, start: 315.7429 s end: 340.3690 s, duration: 24.6261 s, snr: 10.34
noise: Computer_972_2, start: 323.1769 s end: 326.2724 s, duration: 3.0955 s, snr: 6.37
noise: Telephone_563_0, start: 326.9148 s end: 335.3352 s, duration: 8.4205 s, snr: 3.92
noise: Telephone_410_4, start: 354.5718 s end: 405.4194 s, duration: 50.8476 s, snr: -0.51
noise: Scissors_1_3, start: 358.5471 s end: 377.1936 s, duration: 18.6465 s, snr: 7.08
noise: Street_156_3, start: 369.3369 s end: 384.8801 s, duration: 15.5431 s, snr: 7.67
noise: Squeak_266_0, start: 396.2428 s end: 421.5891 s, duration: 25.3462 s, snr: 4.84
noise: Door_520_2, start: 417.3870 s end: 422.9373 s, duration: 5.5503 s, snr: 3.60
noise: Drawer_155_3, start: 427.2938 s end: 431.7417 s, duration: 4.4479 s, snr: 4.79
