TS3004c, length = 2970.00 s, percent_of_speech = 0.68, percent_of_noises = 0.61
noise: Computer_1150_3, start: 2.7461 s end: 9.6776 s, duration: 6.9315 s, snr: 7.98
noise: Computer_363_1, start: 4.6558 s end: 31.0846 s, duration: 26.4288 s, snr: 7.08
noise: Gunshot_16_4, start: 18.9404 s end: 23.7254 s, duration: 4.7850 s, snr: 4.14
noise: Gunshot_58_2, start: 21.0906 s end: 24.1509 s, duration: 3.0602 s, snr: 10.86
noise: Street_142_4, start: 25.8578 s end: 36.3903 s, duration: 10.5325 s, snr: 6.91
noise: Knock_380_0, start: 26.8772 s end: 30.3213 s, duration: 3.4441 s, snr: 2.30
noise: Scissors_21_3, start: 32.3472 s end: 41.8153 s, duration: 9.4681 s, snr: 5.04
noise: Babble_63_0, start: 37.3703 s end: 42.9089 s, duration: 5.5386 s, snr: 13.33
noise: Telephone_728_1, start: 37.3967 s end: 58.7657 s, duration: 21.3690 s, snr: 6.06
noise: Telephone_454_1, start: 45.0377 s end: 48.5954 s, duration: 3.5578 s, snr: 7.16
noise: Door_246_2, start: 62.2218 s end: 66.0106 s, duration: 3.7888 s, snr: 0.35
noise: Telephone_0_4, start: 68.9172 s end: 79.1896 s, duration: 10.2724 s, snr: 2.45
noise: Squeak_201_1, start: 88.7168 s end: 95.5828 s, duration: 6.8660 s, snr: 3.92
noise: Telephone_507_2, start: 97.0609 s end: 100.3633 s, duration: 3.3024 s, snr: 6.75
noise: Signalization_67_3, start: 113.9664 s end: 117.4989 s, duration: 3.5325 s, snr: 1.33
noise: Signalization_65_4, start: 128.8659 s end: 132.3965 s, duration: 3.5306 s, snr: 1.32
noise: Computer_677_3, start: 169.4062 s end: 172.9333 s, duration: 3.5271 s, snr: 11.63
noise: Scissors_84_4, start: 177.4903 s end: 193.3164 s, duration: 15.8261 s, snr: 6.72
noise: Signalization_90_0, start: 177.9902 s end: 183.5202 s, duration: 5.5300 s, snr: 5.33
noise: Computer_195_0, start: 201.3401 s end: 205.2091 s, duration: 3.8690 s, snr: 3.12
noise: Computer_151_4, start: 219.2676 s end: 226.2596 s, duration: 6.9920 s, snr: 5.03
noise: Drawer_87_3, start: 244.6426 s end: 248.7008 s, duration: 4.0583 s, snr: 6.39
noise: Knock_1503_2, start: 249.5450 s end: 255.3830 s, duration: 5.8380 s, snr: 7.44
noise: Computer_481_2, start: 258.8348 s end: 268.9049 s, duration: 10.0701 s, snr: 4.15
noise: Squeak_38_3, start: 301.0407 s end: 304.3103 s, duration: 3.2696 s, snr: 6.98
noise: Computer_457_3, start: 309.3296 s end: 322.3003 s, duration: 12.9708 s, snr: 5.06
noise: Babble_145_2, start: 311.7325 s end: 322.2714 s, duration: 10.5389 s, snr: 17.35
noise: Computer_672_4, start: 376.1451 s end: 379.8409 s, duration: 3.6957 s, snr: 0.84
noise: Telephone_170_1, start: 385.8391 s end: 394.7212 s, duration: 8.8821 s, snr: 1.09
