TS3005d, length = 2672.20 s, percent_of_speech = 0.88, percent_of_noises = 0.53
noise: Street_26_1, start: 6.9651 s end: 10.5044 s, duration: 3.5394 s, snr: 6.43
noise: Writing_87_4, start: 42.4286 s end: 64.2147 s, duration: 21.7861 s, snr: 8.22
noise: Signalization_82_3, start: 67.1199 s end: 72.6513 s, duration: 5.5314 s, snr: 3.10
noise: Writing_163_4, start: 67.4394 s end: 70.6657 s, duration: 3.2263 s, snr: 4.42
noise: Telephone_503_4, start: 76.7479 s end: 79.9682 s, duration: 3.2204 s, snr: 2.92
noise: Knock_70_1, start: 102.4043 s end: 105.6945 s, duration: 3.2903 s, snr: 3.42
noise: Computer_151_3, start: 137.9715 s end: 144.9631 s, duration: 6.9916 s, snr: 4.81
noise: Babble_34_1, start: 138.0572 s end: 143.5841 s, duration: 5.5269 s, snr: 15.08
noise: Signalization_76_0, start: 196.0436 s end: 199.5761 s, duration: 3.5325 s, snr: 2.19
noise: Telephone_601_1, start: 210.5862 s end: 216.5037 s, duration: 5.9175 s, snr: 2.42
noise: Signalization_21_2, start: 246.2966 s end: 276.8229 s, duration: 30.5264 s, snr: 7.25
noise: Gunshot_102_4, start: 251.4733 s end: 255.4058 s, duration: 3.9325 s, snr: 4.94
noise: Tool_3809_4, start: 306.9296 s end: 311.4620 s, duration: 4.5324 s, snr: 6.52
noise: Telephone_366_4, start: 321.6316 s end: 334.1237 s, duration: 12.4921 s, snr: -0.70
noise: Squeak_96_2, start: 327.5535 s end: 331.1773 s, duration: 3.6238 s, snr: 6.58
noise: Computer_57_1, start: 385.5939 s end: 405.1200 s, duration: 19.5261 s, snr: 4.89
noise: Knock_772_0, start: 441.5143 s end: 445.7448 s, duration: 4.2305 s, snr: 6.31
noise: Scissors_49_3, start: 462.8872 s end: 479.5936 s, duration: 16.7064 s, snr: 6.87
noise: Squeak_78_1, start: 464.0088 s end: 476.0982 s, duration: 12.0894 s, snr: 8.09
noise: Telephone_377_3, start: 480.2287 s end: 492.7203 s, duration: 12.4915 s, snr: 8.94
noise: Gunshot_10_0, start: 496.4740 s end: 500.3640 s, duration: 3.8900 s, snr: 1.39
noise: Telephone_66_4, start: 510.4274 s end: 531.1798 s, duration: 20.7524 s, snr: 7.43
noise: Drawer_98_4, start: 525.3112 s end: 530.9590 s, duration: 5.6477 s, snr: 1.83
noise: Door_2041_1, start: 532.9615 s end: 537.0239 s, duration: 4.0624 s, snr: 3.71
noise: Drawer_42_2, start: 551.4475 s end: 559.1346 s, duration: 7.6871 s, snr: 3.58
noise: Tool_3363_0, start: 552.9560 s end: 557.4884 s, duration: 4.5324 s, snr: 4.98
noise: Writing_91_0, start: 565.4343 s end: 586.2804 s, duration: 20.8461 s, snr: 2.02
noise: Telephone_324_2, start: 601.6841 s end: 629.2794 s, duration: 27.5952 s, snr: 7.49
noise: Babble_79_1, start: 609.5239 s end: 615.0603 s, duration: 5.5364 s, snr: 13.14
noise: Squeak_204_1, start: 668.0416 s end: 673.8540 s, duration: 5.8124 s, snr: 3.02
noise: Computer_1102_3, start: 684.0844 s end: 698.0968 s, duration: 14.0124 s, snr: 4.21
noise: Computer_958_4, start: 691.1599 s end: 694.6042 s, duration: 3.4443 s, snr: 1.82
noise: Computer_342_1, start: 699.5582 s end: 704.4904 s, duration: 4.9322 s, snr: 0.50
noise: Writing_236_1, start: 701.8601 s end: 730.1866 s, duration: 28.3265 s, snr: 6.57
noise: Writing_99_2, start: 709.8038 s end: 715.0563 s, duration: 5.2525 s, snr: 2.63
noise: Telephone_68_3, start: 738.8219 s end: 745.9082 s, duration: 7.0864 s, snr: 4.02
noise: Computer_535_4, start: 778.9576 s end: 783.8294 s, duration: 4.8719 s, snr: 6.13
noise: Street_137_3, start: 832.7708 s end: 843.3162 s, duration: 10.5454 s, snr: 7.21
noise: Writing_64_3, start: 833.1089 s end: 846.2149 s, duration: 13.1060 s, snr: 4.39
noise: Squeak_174_3, start: 846.8356 s end: 854.6879 s, duration: 7.8524 s, snr: 4.37
noise: Computer_760_4, start: 850.4148 s end: 856.3108 s, duration: 5.8960 s, snr: 2.84
