TS3009a, length = 1505.90 s, percent_of_speech = 0.87, percent_of_noises = 0.52
noise: Computer_273_4, start: 5.3833 s end: 12.8087 s, duration: 7.4255 s, snr: 2.85
noise: Scissors_86_4, start: 6.9143 s end: 16.6214 s, duration: 9.7071 s, snr: -0.30
noise: Squeak_185_2, start: 54.9149 s end: 58.1466 s, duration: 3.2317 s, snr: 8.59
noise: Signalization_15_2, start: 71.9314 s end: 77.1363 s, duration: 5.2049 s, snr: 8.56
noise: Telephone_442_0, start: 79.7178 s end: 108.1389 s, duration: 28.4211 s, snr: 10.95
noise: Scissors_5_4, start: 85.7816 s end: 98.7080 s, duration: 12.9264 s, snr: 5.00
noise: Writing_149_1, start: 108.6220 s end: 112.4737 s, duration: 3.8517 s, snr: 6.16
noise: Computer_152_3, start: 120.7731 s end: 127.1526 s, duration: 6.3795 s, snr: 5.86
noise: Squeak_109_1, start: 148.8701 s end: 173.9024 s, duration: 25.0324 s, snr: 5.63
noise: Drawer_68_2, start: 154.3303 s end: 170.4374 s, duration: 16.1071 s, snr: 3.00
noise: Telephone_814_0, start: 166.0447 s end: 174.8266 s, duration: 8.7819 s, snr: 2.03
noise: Door_1989_4, start: 166.8019 s end: 170.3251 s, duration: 3.5231 s, snr: 5.44
noise: Telephone_561_2, start: 173.6016 s end: 182.1666 s, duration: 8.5650 s, snr: 0.70
noise: Gunshot_103_3, start: 177.3779 s end: 180.3940 s, duration: 3.0161 s, snr: 10.75
noise: Drawer_154_1, start: 193.3268 s end: 199.6531 s, duration: 6.3264 s, snr: 4.90
noise: Door_1527_0, start: 220.1879 s end: 223.2346 s, duration: 3.0468 s, snr: 6.63
noise: Babble_81_1, start: 261.2039 s end: 266.7493 s, duration: 5.5454 s, snr: 17.40
noise: Computer_1050_0, start: 275.7792 s end: 283.2514 s, duration: 7.4723 s, snr: 1.66
noise: Writing_132_3, start: 282.1447 s end: 295.4500 s, duration: 13.3053 s, snr: 2.38
noise: Squeak_123_2, start: 325.3596 s end: 329.8651 s, duration: 4.5055 s, snr: 3.01
noise: Computer_371_1, start: 332.1104 s end: 359.1092 s, duration: 26.9989 s, snr: 6.10
noise: Telephone_707_3, start: 349.9309 s end: 353.8929 s, duration: 3.9620 s, snr: 8.36
noise: Computer_99_2, start: 360.7233 s end: 365.8553 s, duration: 5.1320 s, snr: 6.96
noise: Babble_22_0, start: 372.1483 s end: 430.8430 s, duration: 58.6947 s, snr: 12.01
noise: Writing_46_1, start: 373.3921 s end: 397.6582 s, duration: 24.2661 s, snr: 3.57
noise: Knock_193_2, start: 378.3963 s end: 381.8168 s, duration: 3.4205 s, snr: 8.47
noise: Scissors_84_0, start: 433.2823 s end: 449.1088 s, duration: 15.8265 s, snr: 2.28
noise: Tool_2645_1, start: 443.9257 s end: 448.4552 s, duration: 4.5295 s, snr: 3.74
noise: Door_4824_2, start: 456.0023 s end: 460.0253 s, duration: 4.0230 s, snr: 9.86
noise: Scissors_11_4, start: 459.6920 s end: 471.6980 s, duration: 12.0060 s, snr: 4.73
noise: Door_1251_3, start: 506.1143 s end: 510.3716 s, duration: 4.2572 s, snr: 4.48
noise: Scissors_40_3, start: 581.5367 s end: 597.3020 s, duration: 15.7653 s, snr: 5.56
noise: Writing_25_2, start: 594.9831 s end: 599.1954 s, duration: 4.2123 s, snr: 9.41
noise: Signalization_68_0, start: 619.8756 s end: 623.4016 s, duration: 3.5260 s, snr: 10.03
