TS3010b, length = 2085.48 s, percent_of_speech = 0.69, percent_of_noises = 0.50
noise: Scissors_44_0, start: 11.0237 s end: 37.5502 s, duration: 26.5265 s, snr: 8.78
noise: Scissors_26_0, start: 25.2961 s end: 38.8829 s, duration: 13.5869 s, snr: 9.77
noise: Street_111_0, start: 65.8264 s end: 71.3589 s, duration: 5.5325 s, snr: 9.09
noise: Signalization_63_4, start: 85.3878 s end: 88.9203 s, duration: 3.5325 s, snr: 4.08
noise: Computer_1064_1, start: 104.0448 s end: 112.6014 s, duration: 8.5566 s, snr: 1.25
noise: Scissors_93_3, start: 114.9334 s end: 118.1922 s, duration: 3.2588 s, snr: 10.69
noise: Computer_741_0, start: 125.1418 s end: 128.7122 s, duration: 3.5704 s, snr: 9.13
noise: Telephone_239_3, start: 128.9059 s end: 155.4920 s, duration: 26.5861 s, snr: 5.36
noise: Telephone_275_4, start: 143.9944 s end: 157.5976 s, duration: 13.6033 s, snr: 6.00
noise: Writing_193_3, start: 156.2781 s end: 173.1641 s, duration: 16.8860 s, snr: 11.22
noise: Drawer_19_1, start: 157.8766 s end: 162.0946 s, duration: 4.2180 s, snr: 5.38
noise: Tool_3251_2, start: 158.1642 s end: 162.6978 s, duration: 4.5336 s, snr: 2.78
noise: Scissors_2_0, start: 161.2569 s end: 165.6631 s, duration: 4.4062 s, snr: 5.44
noise: Tool_3860_1, start: 164.6552 s end: 169.1876 s, duration: 4.5324 s, snr: 5.24
noise: Gunshot_20_2, start: 191.5317 s end: 195.7966 s, duration: 4.2649 s, snr: 3.16
noise: Signalization_80_2, start: 196.5791 s end: 200.1116 s, duration: 3.5325 s, snr: 6.54
noise: Writing_227_3, start: 241.2821 s end: 249.6082 s, duration: 8.3261 s, snr: -0.97
noise: Squeak_288_1, start: 261.2771 s end: 265.6096 s, duration: 4.3325 s, snr: 11.62
noise: Scissors_35_0, start: 290.3143 s end: 302.7606 s, duration: 12.4462 s, snr: 4.66
noise: Telephone_89_0, start: 294.7647 s end: 305.2912 s, duration: 10.5265 s, snr: 8.18
noise: Gunshot_98_4, start: 316.9268 s end: 324.3852 s, duration: 7.4584 s, snr: 9.26
noise: Scissors_38_4, start: 332.7369 s end: 342.8032 s, duration: 10.0664 s, snr: 6.21
noise: Door_1584_4, start: 343.8421 s end: 348.2963 s, duration: 4.4543 s, snr: 6.90
noise: Writing_169_1, start: 361.5638 s end: 384.2298 s, duration: 22.6660 s, snr: 1.13
noise: Telephone_175_3, start: 420.2923 s end: 429.1753 s, duration: 8.8830 s, snr: 7.57
noise: Babble_102_0, start: 444.9277 s end: 450.4718 s, duration: 5.5441 s, snr: 18.93
noise: Computer_820_1, start: 458.4233 s end: 461.4306 s, duration: 3.0072 s, snr: 5.24
noise: Computer_1075_3, start: 508.5296 s end: 518.0298 s, duration: 9.5003 s, snr: 6.17
